time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001565,-0.7731,0.4318,-0.7449,1.157
0.006519,-0.8069,0.4712,-0.5709,1.095
0.011435,-0.8910,0.4999,-0.2646,1.055
0.016900,-0.9841,0.4918,-0.0029,1.100
0.021296,-1.0988,0.4946,0.1791,1.218
0.026608,-1.1964,0.4585,0.2848,1.313
0.031668,-1.1509,0.4266,0.2153,1.246
0.036761,-1.0574,0.4320,0.1362,1.150
0.041622,-0.9197,0.4628,-0.0307,1.030
0.046298,-0.8036,0.4569,-0.1349,0.934
0.051144,-0.6464,0.4218,-0.2648,0.816
0.056816,-0.4572,0.3933,-0.3916,0.719
0.062242,-0.3473,0.3189,-0.4866,0.678
0.066468,-0.2610,0.2725,-0.6285,0.733
0.071532,-0.2192,0.2372,-0.7361,0.804
0.075886,-0.1913,0.3502,-0.7195,0.823
0.081666,-0.1661,0.6999,-0.5657,0.915
0.086631,-0.2433,0.3900,-0.5914,0.749
0.091262,-1.0434,-0.3865,-0.2848,1.149
0.096500,-0.7755,-0.3332,-0.3035,0.897
0.101736,-0.7093,-0.3708,-0.2509,0.839
0.106518,-0.3156,-0.2020,-0.3601,0.520
0.111519,-0.0471,-0.1942,-0.4467,0.489
0.116729,0.0890,-0.0902,-0.4561,0.473
0.121574,0.1120,-0.2614,-0.4742,0.553
0.126385,0.1987,-0.3617,-0.3584,0.547
0.131688,0.1805,-0.4254,-0.2543,0.528
0.136433,0.2290,-0.4602,-0.1383,0.532
0.141660,0.3144,-0.4872,0.0038,0.580
0.146838,0.3948,-0.6032,0.0978,0.727
0.151143,0.4826,-0.6996,0.1887,0.871
0.156585,0.5659,-0.7839,0.2599,1.001
0.161969,0.6141,-0.8676,0.2475,1.091
0.166542,0.7369,-0.8624,0.2255,1.157
0.171627,0.8075,-0.7919,0.1677,1.143
0.176836,0.9451,-0.6946,0.1290,1.180
0.181525,0.9430,-0.5966,0.1495,1.126
0.186476,0.8886,-0.5719,0.1435,1.066
0.191520,0.7944,-0.5677,0.1896,0.995
0.196549,0.6869,-0.6484,0.2306,0.972
0.201434,0.6377,-0.6708,0.3068,0.975
0.206737,0.6300,-0.6545,0.3944,0.990
0.211262,0.6733,-0.6407,0.4719,1.042
0.216488,0.7056,-0.6037,0.5563,1.083
0.221984,0.7557,-0.5012,0.6406,1.110
0.226490,0.7691,-0.3796,0.7082,1.112
0.231285,0.7529,-0.3249,0.8187,1.159
0.236643,0.7380,-0.2205,0.8865,1.174
0.241442,0.6503,-0.1832,0.9521,1.167
0.246517,0.5376,-0.2244,0.9632,1.126
0.251511,0.4782,-0.2056,0.9464,1.080
0.256696,0.4762,-0.1792,0.8850,1.021
0.261663,0.4744,-0.1496,0.8317,0.969
0.266699,0.4707,-0.1901,0.7172,0.879
0.271371,0.3801,-0.2951,0.5775,0.752
0.275817,0.3084,-0.3000,0.4866,0.650
0.281613,0.3291,-0.2125,0.4131,0.569
0.286647,0.3883,-0.1400,0.3591,0.547
0.291338,0.4444,-0.1228,0.3579,0.584
0.296978,0.4708,-0.1273,0.3710,0.613
0.301809,0.5106,-0.1676,0.3865,0.662
0.306816,0.5493,-0.2059,0.4163,0.719
0.311667,0.6276,-0.2804,0.3866,0.789
0.316519,0.6912,-0.3290,0.3241,0.831
0.321618,0.7190,-0.3994,0.3168,0.881
0.326907,0.7492,-0.4201,0.2599,0.897
0.332150,0.7673,-0.4435,0.2391,0.918
0.336706,0.8259,-0.4883,0.2209,0.985
0.341635,0.8625,-0.3759,0.2219,0.967
0.346815,0.7205,-0.2169,0.2824,0.804
0.351233,0.4653,-0.0333,0.3427,0.579
0.356757,0.1504,0.0746,0.3815,0.417
0.361753,-0.0504,0.1381,0.4203,0.445
0.366535,-0.1025,0.1789,0.3758,0.429
0.371814,-0.1045,0.1809,0.3674,0.423
0.376718,-0.0711,0.1514,0.3640,0.401
0.381689,-0.0122,0.1192,0.3679,0.387
0.387037,0.0531,0.1201,0.3433,0.368
0.391313,0.0966,0.1112,0.3023,0.336
0.396757,0.1570,0.1045,0.2593,0.321
0.402352,0.2159,0.0644,0.1523,0.272
0.406762,0.2263,0.0197,0.0316,0.229
0.411399,0.2003,-0.0129,-0.1074,0.228
0.416789,0.1923,-0.0667,-0.2027,0.287
0.421712,0.1897,-0.0913,-0.2666,0.340
0.426664,0.1542,-0.0918,-0.2946,0.345
0.431676,0.1433,-0.0872,-0.3081,0.351
0.436680,0.1472,-0.0492,-0.3455,0.379
0.441624,0.1183,-0.0350,-0.3660,0.386
0.446974,0.0690,-0.0401,-0.4173,0.425
0.451358,0.0405,-0.0502,-0.4612,0.466
0.456714,0.0375,-0.0891,-0.4666,0.476
0.462013,0.0069,-0.0994,-0.4219,0.434
0.466609,0.0196,-0.1310,-0.3847,0.407
0.471597,0.0340,-0.1118,-0.3645,0.383
0.476170,0.0589,-0.0822,-0.3423,0.357
0.481684,0.0563,-0.0565,-0.3609,0.370
0.486970,0.0308,-0.0445,-0.3369,0.341
0.491720,-0.0082,-0.0129,-0.3346,0.335
0.496902,-0.1032,0.0120,-0.3967,0.410
0.501727,-0.0783,0.0469,-0.2611,0.277
0.507046,-0.0704,0.1346,-0.1121,0.189
0.511548,-0.0485,0.1747,-0.0140,0.182
0.516699,-0.0840,0.1982,0.0668,0.225
0.521876,-0.0595,0.1740,0.1210,0.220
0.526726,-0.0267,0.1927,0.1250,0.231
0.531504,-0.0257,0.2250,0.1458,0.269
0.537097,0.0085,0.2492,0.1596,0.296
0.541943,0.0476,0.2773,0.1521,0.320
0.546780,0.0565,0.3068,0.1235,0.335
0.551885,0.0852,0.3162,0.1143,0.347
0.556764,0.1099,0.3009,0.0744,0.329
0.561778,0.1068,0.3194,0.0800,0.346
0.566968,0.1147,0.3179,0.0929,0.351
0.571505,0.1290,0.3251,0.0204,0.350
0.576700,0.1167,0.3102,-0.1082,0.349
0.582230,0.1068,0.3165,-0.2167,0.398
0.586840,0.0852,0.3203,-0.3029,0.449
0.591352,0.0778,0.3148,-0.4028,0.517
0.597138,-0.0083,0.3146,-0.4330,0.535
0.601652,-0.0894,0.3197,-0.4419,0.553
0.606750,-0.1657,0.3111,-0.4342,0.559
0.612022,-0.2279,0.3295,-0.4173,0.579
0.616614,-0.2907,0.2914,-0.3413,0.535
0.622395,-0.3376,0.2613,-0.2424,0.491
0.627137,-0.3622,0.2603,-0.1563,0.473
0.631647,-0.3766,0.2476,-0.0614,0.455
0.636948,-0.4118,0.2515,0.0043,0.483
0.643735,-0.4393,0.2600,0.0220,0.511
0.647515,-0.4946,0.2562,0.0587,0.560
0.651896,-0.5420,0.2828,0.0359,0.612
0.657001,-0.5791,0.3255,-0.0079,0.664
0.661964,-0.5729,0.3675,-0.0892,0.687
0.667553,-0.6358,0.3784,-0.2031,0.767
0.672100,-0.6866,0.4251,-0.3184,0.868
0.677052,-0.7730,0.4766,-0.4519,1.014
0.681883,-0.8307,0.5473,-0.5630,1.143
0.688020,-0.9076,0.5849,-0.6497,1.260
0.691915,-0.9376,0.6612,-0.7004,1.344
0.697578,-0.9783,0.6857,-0.7676,1.420
0.702433,-0.9634,0.7492,-0.8275,1.475
0.707004,-1.0072,0.8135,-0.8612,1.555
0.711919,-1.0310,0.8998,-0.8903,1.633
0.717239,-1.0179,0.9512,-0.8769,1.646
0.722235,-1.0060,0.9821,-0.8356,1.635
0.726737,-0.9947,1.0183,-0.7650,1.616
0.732021,-0.9555,1.0078,-0.6569,1.536
0.736907,-0.8717,1.0246,-0.5520,1.454
0.742000,-0.7905,1.0352,-0.4072,1.365
0.747115,-0.7046,1.0110,-0.3182,1.273
0.751967,-0.6400,1.0261,-0.2180,1.229
0.757301,-0.5895,1.0420,-0.1303,1.204
0.762707,-0.5507,1.0777,-0.0288,1.211
0.767685,-0.5212,1.1257,0.0912,1.244
0.771824,-0.5246,1.1739,0.1343,1.293
0.778148,-0.5059,1.1863,0.1844,1.303
0.782212,-0.4890,1.1868,0.2511,1.308
0.787258,-0.4669,1.1468,0.3104,1.277
0.792046,-0.4349,1.1427,0.3480,1.271
0.797339,-0.4122,1.1026,0.3833,1.238
0.801881,-0.2955,1.1195,0.5783,1.294
0.807443,-0.2071,1.0735,0.6203,1.257
