time,X,Y,Z,SVM,,time,X,Y,Z,SVM,,,,,,,,,,,,,,time,X,Y,Z,SVM
0.002529,-0.2804,0.5796,-0.32,0.719,,0.002529,0.2804,0.5796,0.32,0.719,,,,,,,,,,,,,,0.0279,0.0279,0.7555,0.106,0.763
0.006145,-0.3042,0.5938,-0.3088,0.735,,0.006145,0.3042,0.5938,0.3088,0.735,,,,,,,,,,,,,,0.0419,0.0419,0.7231,0.0049,0.724
0.010742,-0.3218,0.6452,-0.2216,0.754,,0.010742,0.3218,0.6452,0.2216,0.754,,,,,,,,,,,,,,0.0939,0.0939,0.681,0.1569,0.705
0.015653,-0.3475,0.6665,-0.0773,0.756,,0.015653,0.3475,0.6665,0.0773,0.756,,,,,,,,,,,,,,0.1284,0.1284,0.6455,0.3482,0.745
0.02049,-0.3694,0.6859,0.0593,0.781,,0.02049,0.3694,0.6859,0.0593,0.781,,,,,,,,,,,,,,0.1441,0.1441,0.6212,0.5566,0.846
0.026259,-0.3704,0.6936,0.1479,0.8,,0.026259,0.3704,0.6936,0.1479,0.8,,,,,,,,,,,,,,0.1402,0.1402,0.6057,0.7654,0.986
0.030713,-0.3598,0.6796,0.1933,0.793,,0.030713,0.3598,0.6796,0.1933,0.793,,,,,,,,,,,,,,0.1313,0.1313,0.5936,0.9389,1.119
0.035818,-0.3326,0.6557,0.2315,0.771,,0.035818,0.3326,0.6557,0.2315,0.771,,,,,,,,,,,,,,0.1289,0.1289,0.58,1.0632,1.218
0.040886,-0.3198,0.6312,0.2603,0.754,,0.040886,0.3198,0.6312,0.2603,0.754,,,,,,,,,,,,,,0.123,0.123,0.5742,1.1268,1.271
0.045821,-0.2735,0.6107,0.2151,0.703,,0.045821,0.2735,0.6107,0.2151,0.703,,,,,,,,,,,,,,0.1217,0.1217,0.5688,1.116,1.259
0.050649,-0.3161,0.7351,0.2419,0.836,,0.050649,0.3161,0.7351,0.2419,0.836,,,,,,,,,,,,,,0.1198,0.1198,0.5564,1.0409,1.186
0.056139,-0.3018,0.7054,0.1828,0.789,,0.056139,0.3018,0.7054,0.1828,0.789,,,,,,,,,,,,,,0.1218,0.1218,0.5321,0.9257,1.075
0.062135,-0.3398,0.6776,0.1047,0.765,,0.062135,0.3398,0.6776,0.1047,0.765,,,,,,,,,,,,,,0.1113,0.1113,0.4983,0.7825,0.934
0.067019,-0.3791,0.6734,-0.0254,0.773,,0.067019,0.3791,0.6734,0.0254,0.773,,,,,,,,,,,,,,0.0723,0.0723,0.4667,0.6258,0.784
0.072547,-0.4372,0.6856,-0.2421,0.848,,0.072547,0.4372,0.6856,0.2421,0.848,,,,,,,,,,,,,,0.0027,0.0027,0.4473,0.4555,0.638
0.075744,-0.4854,0.7066,-0.319,0.915,,0.075744,0.4854,0.7066,0.319,0.915,,,,,,,,,,,,,,0.0858,0.0858,0.4327,0.2645,0.514
0.080778,-0.503,0.6723,-0.3665,0.916,,0.080778,0.503,0.6723,0.3665,0.916,,,,,,,,,,,,,,0.1721,0.1721,0.4325,0.0745,0.471
0.086092,-0.4694,0.6947,-0.366,0.915,,0.086092,0.4694,0.6947,0.366,0.915,,,,,,,,,,,,,,0.2475,0.2475,0.4464,0.1097,0.522
0.090829,-0.4542,0.6927,-0.3819,0.912,,0.090829,0.4542,0.6927,0.3819,0.912,,,,,,,,,,,,,,0.2985,0.2985,0.4644,0.2663,0.613
0.095614,-0.4834,0.7119,-0.3739,0.938,,0.095614,0.4834,0.7119,0.3739,0.938,,,,,,,,,,,,,,0.3307,0.3307,0.4862,0.3835,0.702
0.100918,-0.521,0.719,-0.3683,0.961,,0.100918,0.521,0.719,0.3683,0.961,,,,,,,,,,,,,,0.3448,0.3448,0.5139,0.4614,0.772
0.106095,-0.5341,0.6978,-0.3342,0.94,,0.106095,0.5341,0.6978,0.3342,0.94,,,,,,,,,,,,,,0.3386,0.3386,0.5495,0.4928,0.812
0.11104,-0.5401,0.6508,-0.3028,0.898,,0.11104,0.5401,0.6508,0.3028,0.898,,,,,,,,,,,,,,0.3145,0.3145,0.595,0.4803,0.827
0.116066,-0.5536,0.6068,-0.2955,0.873,,0.116066,0.5536,0.6068,0.2955,0.873,,,,,,,,,,,,,,0.277,0.277,0.6453,0.4312,0.824
0.120494,-0.5342,0.573,-0.2694,0.828,,0.120494,0.5342,0.573,0.2694,0.828,,,,,,,,,,,,,,0.233,0.233,0.6954,0.3671,0.82
0.125995,-0.5891,0.573,-0.2412,0.856,,0.125995,0.5891,0.573,0.2412,0.856,,,,,,,,,,,,,,0.1916,0.1916,0.7334,0.2999,0.815
0.131125,-0.6302,0.5283,-0.1801,0.842,,0.131125,0.6302,0.5283,0.1801,0.842,,,,,,,,,,,,,,0.1527,0.1527,0.755,0.2371,0.806
0.135684,-0.6269,0.4986,-0.153,0.815,,0.135684,0.6269,0.4986,0.153,0.815,,,,,,,,,,,,,,0.129,0.129,0.7581,0.1905,0.792
0.140564,-0.6823,0.4578,-0.1334,0.832,,0.140564,0.6823,0.4578,0.1334,0.832,,,,,,,,,,,,,,0.1211,0.1211,0.7436,0.1651,0.771
0.146342,-0.7178,0.4321,-0.1119,0.845,,0.146342,0.7178,0.4321,0.1119,0.845,,,,,,,,,,,,,,0.1274,0.1274,0.7193,0.1538,0.747
0.150705,-0.7783,0.3933,-0.1241,0.881,,0.150705,0.7783,0.3933,0.1241,0.881,,,,,,,,,,,,,,0.1461,0.1461,0.6903,0.1471,0.721
0.156073,-0.8042,0.3247,-0.1388,0.878,,0.156073,0.8042,0.3247,0.1388,0.878,,,,,,,,,,,,,,0.1744,0.1744,0.6737,0.1452,0.711
0.1607,-0.829,0.2792,-0.1514,0.888,,0.1607,0.829,0.2792,0.1514,0.888,,,,,,,,,,,,,,0.193,0.193,0.6576,0.1481,0.701
0.165896,-0.8311,0.2255,-0.1309,0.871,,0.165896,0.8311,0.2255,0.1309,0.871,,,,,,,,,,,,,,0.1971,0.1971,0.6466,0.1509,0.693
0.171026,-0.8061,0.1684,-0.144,0.836,,0.171026,0.8061,0.1684,0.144,0.836,,,,,,,,,,,,,,0.1697,0.1697,0.6266,0.1585,0.668
0.176067,-0.7639,0.1411,-0.1289,0.787,,0.176067,0.7639,0.1411,0.1289,0.787,,,,,,,,,,,,,,0.1298,0.1298,0.595,0.1662,0.631
0.180807,-0.7352,0.1433,-0.1425,0.762,,0.180807,0.7352,0.1433,0.1425,0.762,,,,,,,,,,,,,,0.0871,0.0871,0.5545,0.1858,0.591
0.185716,-0.7504,0.0913,-0.1467,0.77,,0.185716,0.7504,0.0913,0.1467,0.77,,,,,,,,,,,,,,0.0536,0.0536,0.5098,0.2125,0.555
0.191171,-0.7852,0.0687,-0.2056,0.815,,0.191171,0.7852,0.0687,0.2056,0.815,,,,,,,,,,,,,,0.0321,0.0321,0.4827,0.2559,0.547
0.195924,-0.8032,0.0583,-0.2236,0.836,,0.195924,0.8032,0.0583,0.2236,0.836,,,,,,,,,,,,,,0.0154,0.0154,0.4823,0.3087,0.573
0.200884,-0.821,0.1453,-0.2272,0.864,,0.200884,0.821,0.1453,0.2272,0.864,,,,,,,,,,,,,,0.0065,0.0065,0.4943,0.3566,0.61
0.20635,-0.8095,0.1817,-0.2235,0.859,,0.20635,0.8095,0.1817,0.2235,0.859,,,,,,,,,,,,,,0.0629,0.0629,0.5638,0.4044,0.697
0.21067,-0.8045,0.2318,-0.2602,0.877,,0.21067,0.8045,0.2318,0.2602,0.877,,,,,,,,,,,,,,0.1858,0.1858,0.6833,0.4306,0.829
0.215757,-0.8078,0.281,-0.2773,0.899,,0.215757,0.8078,0.281,0.2773,0.899,,,,,,,,,,,,,,0.3661,0.3661,0.8288,0.4233,1
0.221743,-0.8237,0.3032,-0.3059,0.93,,0.221743,0.8237,0.3032,0.3059,0.93,,,,,,,,,,,,,,0.5614,0.5614,0.8857,0.402,1.123
0.226013,-0.8234,0.3104,-0.3341,0.941,,0.226013,0.8234,0.3104,0.3341,0.941,,,,,,,,,,,,,,0.7459,0.7459,0.8688,0.3714,1.204
0.230855,-0.8566,0.3052,-0.3618,0.979,,0.230855,0.8566,0.3052,0.3618,0.979,,,,,,,,,,,,,,0.8894,0.8894,0.8498,0.341,1.276
0.236029,-0.8921,0.2736,-0.3654,1.002,,0.236029,0.8921,0.2736,0.3654,1.002,,,,,,,,,,,,,,0.9736,0.9736,0.8286,0.3134,1.316
0.240653,-0.9036,0.2705,-0.3545,1.008,,0.240653,0.9036,0.2705,0.3545,1.008,,,,,,,,,,,,,,1.0171,1.0171,0.8174,0.2908,1.337
0.245936,-0.9601,0.2552,-0.3174,1.043,,0.245936,0.9601,0.2552,0.3174,1.043,,,,,,,,,,,,,,1.0148,1.0148,0.8112,0.2827,1.33
0.251051,-1.0141,0.247,-0.2496,1.073,,0.251051,1.0141,0.247,0.2496,1.073,,,,,,,,,,,,,,0.9903,0.9903,0.8078,0.2915,1.311
0.255724,-1.0562,0.2267,-0.1798,1.095,,0.255724,1.0562,0.2267,0.1798,1.095,,,,,,,,,,,,,,0.9523,0.9523,0.7925,0.3145,1.278
0.260703,-1.1038,0.2753,-0.1153,1.143,,0.260703,1.1038,0.2753,0.1153,1.143,,,,,,,,,,,,,,0.9127,0.9127,0.7559,0.3423,1.233
0.266102,-1.1334,0.2735,-0.0607,1.167,,0.266102,1.1334,0.2735,0.0607,1.167,,,,,,,,,,,,,,0.8902,0.8902,0.6979,0.3603,1.187
0.270823,-1.1456,0.2907,-0.016,1.182,,0.270823,1.1456,0.2907,0.016,1.182,,,,,,,,,,,,,,0.8706,0.8706,0.6302,0.3662,1.135
0.275895,-1.1053,0.322,0.014,1.151,,0.275895,1.1053,0.322,0.014,1.151,,,,,,,,,,,,,,0.8424,0.8424,0.5598,0.3647,1.075
0.281053,-1.0797,0.3462,0.0177,1.134,,0.281053,1.0797,0.3462,0.0177,1.134,,,,,,,,,,,,,,0.7988,0.7988,0.4891,0.3535,1.001
0.285982,-1.0168,0.3849,0.0164,1.087,,0.285982,1.0168,0.3849,0.0164,1.087,,,,,,,,,,,,,,0.7489,0.7489,0.4109,0.3445,0.921
0.290917,-1.0025,0.4165,-0.0063,1.086,,0.290917,1.0025,0.4165,0.0063,1.086,,,,,,,,,,,,,,0.685,0.685,0.3487,0.3542,0.846
0.296295,-0.9888,0.477,-0.0028,1.098,,0.296295,0.9888,0.477,0.0028,1.098,,,,,,,,,,,,,,0.6016,0.6016,0.3216,0.3779,0.78
0.300682,-1.0087,0.5376,-0.0043,1.143,,0.300682,1.0087,0.5376,0.0043,1.143,,,,,,,,,,,,,,0.5057,0.5057,0.316,0.4041,0.72
0.306065,-0.9951,0.6007,0.006,1.162,,0.306065,0.9951,0.6007,0.006,1.162,,,,,,,,,,,,,,0.428,0.428,0.3094,0.4344,0.684
0.311081,-0.9488,0.6734,0.0137,1.164,,0.311081,0.9488,0.6734,0.0137,1.164,,,,,,,,,,,,,,0.3684,0.3684,0.2736,0.4713,0.658
0.315767,-0.9269,0.7319,-0.0073,1.181,,0.315767,0.9269,0.7319,0.0073,1.181,,,,,,,,,,,,,,0.329,0.329,0.2135,0.5099,0.643
0.32205,-0.9058,0.7879,-0.0212,1.201,,0.32205,0.9058,0.7879,0.0212,1.201,,,,,,,,,,,,,,0.2975,0.2975,0.1534,0.5528,0.646
0.326304,-0.8783,0.832,-0.035,1.21,,0.326304,0.8783,0.832,0.035,1.21,,,,,,,,,,,,,,0.2668,0.2668,0.098,0.5903,0.655
0.33107,-0.8257,0.8547,-0.0346,1.189,,0.33107,0.8257,0.8547,0.0346,1.189,,,,,,,,,,,,,,0.2299,0.2299,0.0453,0.618,0.661
0.335854,-0.7743,0.8585,-0.0058,1.156,,0.335854,0.7743,0.8585,0.0058,1.156,,,,,,,,,,,,,,0.1826,0.1826,0.0001,0.6383,0.664
0.341071,-0.7122,0.8791,0.0132,1.132,,0.341071,0.7122,0.8791,0.0132,1.132,,,,,,,,,,,,,,0.1183,0.1183,0.0323,0.6561,0.667
0.347577,-0.6348,0.8639,0.0177,1.072,,0.347577,0.6348,0.8639,0.0177,1.072,,,,,,,,,,,,,,0.0472,0.0472,0.0542,0.6693,0.673
0.350861,-0.5423,0.8582,0.015,1.015,,0.350861,0.5423,0.8582,0.015,1.015,,,,,,,,,,,,,,0.0255,0.0255,0.0678,0.6685,0.672
0.356143,-0.5035,0.8308,0.0029,0.971,,0.356143,0.5035,0.8308,0.0029,0.971,,,,,,,,,,,,,,0.0945,0.0945,0.0874,0.6514,0.664
0.360676,-0.4585,0.8411,0.0028,0.958,,0.360676,0.4585,0.8411,0.0028,0.958,,,,,,,,,,,,,,0.15,0.15,0.1129,0.6086,0.637
0.36606,-0.4665,0.8411,-0.009,0.962,,0.36606,0.4665,0.8411,0.009,0.962,,,,,,,,,,,,,,0.1793,0.1793,0.1381,0.5618,0.606
0.371166,-0.4553,0.8234,0.0009,0.941,,0.371166,0.4553,0.8234,0.0009,0.941,,,,,,,,,,,,,,0.2034,0.2034,0.1675,0.5153,0.579
0.37586,-0.4582,0.8332,0.0061,0.951,,0.37586,0.4582,0.8332,0.0061,0.951,,,,,,,,,,,,,,0.2264,0.2264,0.2057,0.4597,0.552
0.380598,-0.4515,0.8486,0.0235,0.962,,0.380598,0.4515,0.8486,0.0235,0.962,,,,,,,,,,,,,,0.2684,0.2684,0.2427,0.4046,0.543
0.386181,-0.4779,0.8624,0.0268,0.986,,0.386181,0.4779,0.8624,0.0268,0.986,,,,,,,,,,,,,,0.3376,0.3376,0.2874,0.3527,0.567
0.390903,-0.5298,0.8578,0.0186,1.008,,0.390903,0.5298,0.8578,0.0186,1.008,,,,,,,,,,,,,,0.3941,0.3941,0.2638,0.3204,0.572
0.395798,-0.5668,0.8566,0.032,1.028,,0.395798,0.5668,0.8566,0.032,1.028,,,,,,,,,,,,,,0.3911,0.3911,0.1356,0.3095,0.517
0.400971,-0.589,0.8728,0.0244,1.053,,0.400971,0.589,0.8728,0.0244,1.053,,,,,,,,,,,,,,0.3097,0.3097,0.0506,0.2983,0.433
0.405854,-0.6157,0.8542,-0.0043,1.053,,0.405854,0.6157,0.8542,0.0043,1.053,,,,,,,,,,,,,,0.1814,0.1814,0.2467,0.3034,0.431
0.410818,-0.6445,0.8228,-0.0373,1.046,,0.410818,0.6445,0.8228,0.0373,1.046,,,,,,,,,,,,,,0.0125,0.0125,0.4503,0.3009,0.542
0.416211,-0.6685,0.8332,-0.0579,1.07,,0.416211,0.6685,0.8332,0.0579,1.07,,,,,,,,,,,,,,0.171,0.171,0.6353,0.3004,0.723
0.421995,-0.6596,0.8215,-0.1163,1.06,,0.421995,0.6596,0.8215,0.1163,1.06,,,,,,,,,,,,,,0.3455,0.3455,0.797,0.302,0.92
0.426248,-0.6208,0.7953,-0.1432,1.019,,0.426248,0.6208,0.7953,0.1432,1.019,,,,,,,,,,,,,,0.4952,0.4952,0.938,0.2937,1.101
0.431228,-0.6213,0.7478,-0.2032,0.993,,0.431228,0.6213,0.7478,0.2032,0.993,,,,,,,,,,,,,,0.6137,0.6137,1.0607,0.2756,1.256
0.435794,-0.6132,0.7127,-0.2295,0.968,,0.435794,0.6132,0.7127,0.2295,0.968,,,,,,,,,,,,,,0.7087,0.7087,1.1602,0.2428,1.381
0.440856,-0.6129,0.7279,-0.2771,0.991,,0.440856,0.6129,0.7279,0.2771,0.991,,,,,,,,,,,,,,0.7782,0.7782,1.2344,0.1979,1.473
0.446269,-0.6203,0.6937,-0.3244,0.986,,0.446269,0.6203,0.6937,0.3244,0.986,,,,,,,,,,,,,,0.8318,0.8318,1.2831,0.1456,1.536
0.450955,-0.6564,0.6724,-0.35,1.003,,0.450955,0.6564,0.6724,0.35,1.003,,,,,,,,,,,,,,0.8644,0.8644,1.3088,0.1002,1.572
0.455986,-0.6663,0.6284,-0.3472,0.98,,0.455986,0.6663,0.6284,0.3472,0.98,,,,,,,,,,,,,,0.8694,0.8694,1.3128,0.0734,1.576
0.461037,-0.6455,0.6046,-0.3303,0.944,,0.461037,0.6455,0.6046,0.3303,0.944,,,,,,,,,,,,,,0.8459,0.8459,1.318,0.0513,1.567
0.466237,-0.6438,0.596,-0.2615,0.915,,0.466237,0.6438,0.596,0.2615,0.915,,,,,,,,,,,,,,0.8031,0.8031,1.3174,0.0527,1.544
0.471684,-0.6587,0.5904,-0.2077,0.909,,0.471684,0.6587,0.5904,0.2077,0.909,,,,,,,,,,,,,,0.7496,0.7496,1.3111,0.0777,1.512
0.47611,-0.6706,0.6137,-0.1424,0.92,,0.47611,0.6706,0.6137,0.1424,0.92,,,,,,,,,,,,,,0.6894,0.6894,1.2946,0.1211,1.472
0.48091,-0.6746,0.6178,-0.0871,0.919,,0.48091,0.6746,0.6178,0.0871,0.919,,,,,,,,,,,,,,0.6264,0.6264,1.2702,0.1806,1.428
0.4862,-0.6945,0.6264,0.0129,0.935,,0.4862,0.6945,0.6264,0.0129,0.935,,,,,,,,,,,,,,0.5578,0.5578,1.2452,0.2559,1.388
0.491427,-0.7304,0.6177,0.0932,0.961,,0.491427,0.7304,0.6177,0.0932,0.961,,,,,,,,,,,,,,0.4856,0.4856,1.2126,0.3471,1.352
0.495981,-0.735,0.6224,0.1328,0.972,,0.495981,0.735,0.6224,0.1328,0.972,,,,,,,,,,,,,,0.4169,0.4169,1.1751,0.4515,1.326
0.500755,-0.7276,0.6237,0.2078,0.981,,0.500755,0.7276,0.6237,0.2078,0.981,,,,,,,,,,,,,,0.3523,0.3523,1.1329,0.5503,1.308
0.506354,-0.7132,0.6285,0.2184,0.975,,0.506354,0.7132,0.6285,0.2184,0.975,,,,,,,,,,,,,,0.2994,0.2994,1.0815,0.6505,1.297
0.511058,-0.6893,0.6583,0.2149,0.977,,0.511058,0.6893,0.6583,0.2149,0.977,,,,,,,,,,,,,,0.2535,0.2535,1.0356,0.7499,1.304
0.516028,-0.6414,0.6725,0.2259,0.956,,0.516028,0.6414,0.6725,0.2259,0.956,,,,,,,,,,,,,,0.2124,0.2124,0.9975,0.8391,1.321
0.521377,-0.6007,0.6834,0.1895,0.929,,0.521377,0.6007,0.6834,0.1895,0.929,,,,,,,,,,,,,,0.1718,0.1718,0.965,0.9157,1.341
0.526315,-0.5553,0.6817,0.1988,0.901,,0.526315,0.5553,0.6817,0.1988,0.901,,,,,,,,,,,,,,0.1349,0.1349,0.9289,0.9728,1.352
0.531231,-0.5316,0.7011,0.2033,0.903,,0.531231,0.5316,0.7011,0.2033,0.903,,,,,,,,,,,,,,0.1002,0.1002,0.8988,1.0107,1.356
0.536344,-0.5179,0.6584,0.184,0.858,,0.536344,0.5179,0.6584,0.184,0.858,,,,,,,,,,,,,,0.0708,0.0708,0.87,1.0176,1.341
0.540618,-0.486,0.6614,0.1649,0.837,,0.540618,0.486,0.6614,0.1649,0.837,,,,,,,,,,,,,,0.0451,0.0451,0.8448,0.9986,1.309
0.546096,-0.4551,0.6482,0.1743,0.811,,0.546096,0.4551,0.6482,0.1743,0.811,,,,,,,,,,,,,,0.0256,0.0256,0.8255,0.954,1.262
0.551395,-0.4347,0.6144,0.1786,0.774,,0.551395,0.4347,0.6144,0.1786,0.774,,,,,,,,,,,,,,0.0195,0.0195,0.8163,0.8837,1.203
0.556067,-0.3983,0.596,0.1685,0.736,,0.556067,0.3983,0.596,0.1685,0.736,,,,,,,,,,,,,,0.0311,0.0311,0.8194,0.7999,1.145
0.561073,-0.3864,0.548,0.1819,0.695,,0.561073,0.3864,0.548,0.1819,0.695,,,,,,,,,,,,,,0.0629,0.0629,0.8461,0.7167,1.111
0.566664,-0.3252,0.5039,0.2543,0.651,,0.566664,0.3252,0.5039,0.2543,0.651,,,,,,,,,,,,,,0.108,0.108,0.8962,0.6318,1.102
0.571524,-0.2814,0.4565,0.3235,0.626,,0.571524,0.2814,0.4565,0.3235,0.626,,,,,,,,,,,,,,0.171,0.171,0.9408,0.5594,1.108
0.576283,-0.2571,0.4056,0.4085,0.63,,0.576283,0.2571,0.4056,0.4085,0.63,,,,,,,,,,,,,,0.2398,0.2398,0.9898,0.4995,1.134
0.581551,-0.2735,0.3747,0.4975,0.68,,0.581551,0.2735,0.3747,0.4975,0.68,,,,,,,,,,,,,,0.3096,0.3096,1.0341,0.4616,1.174
0.586971,-0.3064,0.3445,0.5594,0.725,,0.586971,0.3064,0.3445,0.5594,0.725,,,,,,,,,,,,,,0.3642,0.3642,1.0836,0.4458,1.227
0.592263,-0.32,0.3006,0.6493,0.784,,0.592263,0.32,0.3006,0.6493,0.784,,,,,,,,,,,,,,0.4231,0.4231,1.1362,0.4425,1.291
0.597035,-0.3549,0.2783,0.7528,0.878,,0.597035,0.3549,0.2783,0.7528,0.878,,,,,,,,,,,,,,0.4852,0.4852,1.1876,0.4279,1.352
0.602504,-0.3846,0.2722,0.8769,0.995,,0.602504,0.3846,0.2722,0.8769,0.995,,,,,,,,,,,,,,0.5534,0.5534,1.2426,0.3906,1.415
0.606353,-0.3928,0.258,1.0263,1.129,,0.606353,0.3928,0.258,1.0263,1.129,,,,,,,,,,,,,,0.6228,0.6228,1.287,0.3424,1.47
0.611806,-0.3824,0.2735,1.0988,1.195,,0.611806,0.3824,0.2735,1.0988,1.195,,,,,,,,,,,,,,0.6899,0.6899,1.3016,0.2905,1.501
0.61642,-0.3898,0.2516,1.1307,1.222,,0.61642,0.3898,0.2516,1.1307,1.222,,,,,,,,,,,,,,0.7421,0.7421,1.3006,0.2324,1.515
0.62105,-0.3625,0.2331,1.1033,1.184,,0.62105,0.3625,0.2331,1.1033,1.184,,,,,,,,,,,,,,0.786,0.786,1.286,0.1727,1.517
0.627061,-0.3102,0.23,1.0385,1.108,,0.627061,0.3102,0.23,1.0385,1.108,,,,,,,,,,,,,,0.8017,0.8017,1.2694,0.1113,1.506
0.634208,-0.259,0.2186,0.9365,0.996,,0.634208,0.259,0.2186,0.9365,0.996,,,,,,,,,,,,,,0.7954,0.7954,1.2291,0.0716,1.466
0.636374,-0.2251,0.2233,0.807,0.867,,0.636374,0.2251,0.2233,0.807,0.867,,,,,,,,,,,,,,0.7644,0.7644,1.1817,0.0274,1.408
0.641301,-0.153,0.206,0.6954,0.741,,0.641301,0.153,0.206,0.6954,0.741,,,,,,,,,,,,,,0.7022,0.7022,1.1319,0.0237,1.332
0.646267,-0.0643,0.1887,0.6395,0.67,,0.646267,0.0643,0.1887,0.6395,0.67,,,,,,,,,,,,,,0.6302,0.6302,1.0726,0.0841,1.247
0.651065,0.0362,0.186,0.565,0.596,,0.651065,0.0362,0.186,0.565,0.596,,,,,,,,,,,,,,0.5598,0.5598,1.0108,0.149,1.165
0.656314,0.1222,0.1623,0.5315,0.569,,0.656314,0.1222,0.1623,0.5315,0.569,,,,,,,,,,,,,,0.4928,0.4928,0.9417,0.2137,1.084
0.660993,0.1652,0.1323,0.5172,0.559,,0.660993,0.1652,0.1323,0.5172,0.559,,,,,,,,,,,,,,0.429,0.429,0.8722,0.2901,1.014
0.666273,0.1964,0.0886,0.5076,0.551,,0.666273,0.1964,0.0886,0.5076,0.551,,,,,,,,,,,,,,0.3587,0.3587,0.8074,0.3734,0.959
0.671728,0.2209,0.0812,0.5124,0.564,,0.671728,0.2209,0.0812,0.5124,0.564,,,,,,,,,,,,,,0.289,0.289,0.7614,0.4729,0.942
0.676119,0.2341,0.0667,0.5433,0.595,,0.676119,0.2341,0.0667,0.5433,0.595,,,,,,,,,,,,,,0.2104,0.2104,0.7341,0.579,0.958
0.681014,0.2839,0.0449,0.6168,0.681,,0.681014,0.2839,0.0449,0.6168,0.681,,,,,,,,,,,,,,0.1328,0.1328,0.735,0.6917,1.018
0.686498,0.332,0.0583,0.6994,0.776,,0.686498,0.332,0.0583,0.6994,0.776,,,,,,,,,,,,,,0.0683,0.0683,0.7448,0.8108,1.103
0.691491,0.3379,0.0588,0.7935,0.864,,0.691491,0.3379,0.0588,0.7935,0.864,,,,,,,,,,,,,,0.02,0.02,0.7706,0.941,1.216
0.696235,0.3567,0.0223,0.8705,0.941,,0.696235,0.3567,0.0223,0.8705,0.941,,,,,,,,,,,,,,0.0133,0.0133,0.8051,1.0727,1.341
0.701654,0.3665,0.0012,0.945,1.014,,0.701654,0.3665,0.0012,0.945,1.014,,,,,,,,,,,,,,0.0305,0.0305,0.8435,1.2035,1.47
0.706538,0.398,-0.0238,0.9908,1.068,,0.706538,0.398,0.0238,0.9908,1.068,,,,,,,,,,,,,,0.0259,0.0259,0.8857,1.3261,1.595
0.712621,0.4227,-0.0149,1.0296,1.113,,0.712621,0.4227,0.0149,1.0296,1.113,,,,,,,,,,,,,,0.011,0.011,0.9434,1.4412,1.723
0.716769,0.4526,0.0256,1.0045,1.102,,0.716769,0.4526,0.0256,1.0045,1.102,,,,,,,,,,,,,,0.0018,0.0018,1.0043,1.5302,1.83
0.721562,0.4571,-0.0119,0.9325,1.039,,0.721562,0.4571,0.0119,0.9325,1.039,,,,,,,,,,,,,,0.0073,0.0073,1.0564,1.5834,1.903
0.726081,0.4317,0.0183,0.8902,0.989,,0.726081,0.4317,0.0183,0.8902,0.989,,,,,,,,,,,,,,0.0528,0.0528,1.0995,1.6131,1.953
0.731953,0.36,0.0091,0.8105,0.887,,0.731953,0.36,0.0091,0.8105,0.887,,,,,,,,,,,,,,0.1277,0.1277,1.1459,1.6026,1.974
0.736153,0.2687,0.037,0.739,0.787,,0.736153,0.2687,0.037,0.739,0.787,,,,,,,,,,,,,,0.2319,0.2319,1.1792,1.5685,1.976
0.740937,0.1907,0.076,0.6351,0.667,,0.740937,0.1907,0.076,0.6351,0.667,,,,,,,,,,,,,,0.3392,0.3392,1.2047,1.5037,1.956
0.747208,0.1306,0.0863,0.5059,0.53,,0.747208,0.1306,0.0863,0.5059,0.53,,,,,,,,,,,,,,0.438,0.438,1.2063,1.4199,1.914
0.752452,0.0736,0.0874,0.4182,0.434,,0.752452,0.0736,0.0874,0.4182,0.434,,,,,,,,,,,,,,0.5122,0.5122,1.1776,1.3146,1.838
0.756316,0.0245,0.0774,0.2859,0.297,,0.756316,0.0245,0.0774,0.2859,0.297,,,,,,,,,,,,,,0.558,0.558,1.1217,1.2069,1.74
0.763104,0.0256,0.0306,0.1925,0.197,,0.763104,0.0256,0.0306,0.1925,0.197,,,,,,,,,,,,,,0.5834,0.5834,1.0344,1.0989,1.618
0.767477,0.0028,-0.0474,0.0923,0.104,,0.767477,0.0028,0.0474,0.0923,0.104,,,,,,,,,,,,,,0.5888,0.5888,0.9331,1,1.489
0.771152,0.0133,-0.1319,-0.0361,0.137,,0.771152,0.0133,0.1319,0.0361,0.137,,,,,,,,,,,,,,0.5866,0.5866,0.8304,0.9267,1.376
0.776211,0.0051,-0.2559,-0.1452,0.294,,0.776211,0.0051,0.2559,0.1452,0.294,,,,,,,,,,,,,,0.5603,0.5603,0.7171,0.898,1.279
0.783086,-0.019,-0.4135,-0.2068,0.463,,0.783086,0.019,0.4135,0.2068,0.463,,,,,,,,,,,,,,0.508,0.508,0.5959,0.9111,1.201
0.786131,-0.0447,-0.6329,-0.2428,0.679,,0.786131,0.0447,0.6329,0.2428,0.679,,,,,,,,,,,,,,0.4368,0.4368,0.4689,0.9661,1.159
0.791616,-0.1027,-0.8235,-0.1725,0.848,,0.791616,0.1027,0.8235,0.1725,0.848,,,,,,,,,,,,,,0.3509,0.3509,0.3407,1.0582,1.166
0.796217,-0.1076,-1.019,-0.0776,1.028,,0.796217,0.1076,1.019,0.0776,1.028,,,,,,,,,,,,,,0.2621,0.2621,0.213,1.1898,1.237
0.801257,-0.0818,-1.1769,0.0728,1.182,,0.801257,0.0818,1.1769,0.0728,1.182,,,,,,,,,,,,,,0.1844,0.1844,0.0898,1.3468,1.362
