time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002675,-1.2097,0.6683,-0.1574,1.391
0.006600,-0.9721,0.6211,-0.2856,1.188
0.011270,-0.8572,0.6247,-0.5388,1.190
0.017471,-0.8022,0.5819,-0.6103,1.164
0.021387,-0.7522,0.4203,-0.6990,1.110
0.026188,-0.7088,0.3144,-0.8759,1.170
0.031482,-0.6731,0.2852,-1.0405,1.272
0.036584,-0.6610,0.3106,-1.1213,1.338
0.041513,-0.6456,0.3167,-1.1358,1.344
0.046542,-0.6335,0.3202,-1.1199,1.326
0.051160,-0.6434,0.3777,-1.0025,1.250
0.056674,-0.7013,0.4222,-0.8413,1.174
0.061641,-0.7693,0.4418,-0.6367,1.092
0.066178,-0.8049,0.4579,-0.4460,1.028
0.071144,-0.8039,0.4609,-0.2357,0.956
0.076673,-0.7266,0.4080,-0.0415,0.834
0.081659,-0.4682,0.2782,0.1437,0.563
0.086187,-0.5073,0.2622,0.2273,0.615
0.091590,-0.5340,0.2638,0.1917,0.626
0.097166,-0.6318,0.1614,0.3396,0.735
0.101353,-0.6837,0.1501,0.3801,0.797
0.106446,-0.6994,0.2809,0.3594,0.835
0.111137,-0.7454,0.4572,0.3307,0.935
0.116507,-0.8259,0.6023,0.3297,1.074
0.121950,-0.8693,0.6687,0.2567,1.126
0.126287,-0.9353,0.7497,0.1715,1.211
0.131276,-1.0472,0.8402,0.1171,1.348
0.136971,-1.1145,0.8686,0.1004,1.417
0.141430,-1.1852,0.9252,0.0785,1.506
0.146607,-1.1686,0.9952,0.0612,1.536
0.151443,-1.1549,1.0973,0.0295,1.593
0.156871,-1.0528,1.1125,-0.0970,1.535
0.161389,-0.9000,0.9750,-0.2679,1.354
0.166644,-0.7633,0.9002,-0.3357,1.227
0.171456,-0.5862,0.8501,-0.3966,1.106
0.176523,-0.4504,0.7913,-0.4295,1.007
0.181769,-0.4249,0.8003,-0.4206,0.999
0.186251,-0.4044,0.7626,-0.4250,0.962
0.191352,-0.3532,0.7004,-0.4973,0.929
