time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.006552,0.0279,0.7555,-0.1060,0.763
0.006853,-0.0419,0.7231,0.0049,0.724
0.009932,-0.0939,0.6810,0.1569,0.705
0.015122,-0.1284,0.6455,0.3482,0.745
0.019951,-0.1441,0.6212,0.5566,0.846
0.024950,-0.1402,0.6057,0.7654,0.986
0.030432,-0.1313,0.5936,0.9389,1.119
0.035231,-0.1289,0.5800,1.0632,1.218
0.039970,-0.1230,0.5742,1.1268,1.271
0.045374,-0.1217,0.5688,1.1160,1.259
0.050252,-0.1198,0.5564,1.0409,1.186
0.055250,-0.1218,0.5321,0.9257,1.075
0.060161,-0.1113,0.4983,0.7825,0.934
0.065038,-0.0723,0.4667,0.6258,0.784
0.070058,-0.0027,0.4473,0.4555,0.638
0.075299,0.0858,0.4327,0.2645,0.514
0.080172,0.1721,0.4325,0.0745,0.471
0.085112,0.2475,0.4464,-0.1097,0.522
0.091089,0.2985,0.4644,-0.2663,0.613
0.095017,0.3307,0.4862,-0.3835,0.702
0.100247,0.3448,0.5139,-0.4614,0.772
0.105113,0.3386,0.5495,-0.4928,0.812
0.110321,0.3145,0.5950,-0.4803,0.827
0.115237,0.2770,0.6453,-0.4312,0.824
0.120325,0.2330,0.6954,-0.3671,0.820
0.125139,0.1916,0.7334,-0.2999,0.815
0.130216,0.1527,0.7550,-0.2371,0.806
0.135252,0.1290,0.7581,-0.1905,0.792
0.140350,0.1211,0.7436,-0.1651,0.771
0.145162,0.1274,0.7193,-0.1538,0.747
0.150532,0.1461,0.6903,-0.1471,0.721
0.155028,0.1744,0.6737,-0.1452,0.711
0.160085,0.1930,0.6576,-0.1481,0.701
0.165356,0.1971,0.6466,-0.1509,0.693
0.170140,0.1697,0.6266,-0.1585,0.668
0.175105,0.1298,0.5950,-0.1662,0.631
0.180382,0.0871,0.5545,-0.1858,0.591
0.184946,0.0536,0.5098,-0.2125,0.555
0.190619,0.0321,0.4827,-0.2559,0.547
0.195338,0.0154,0.4823,-0.3087,0.573
0.200186,-0.0065,0.4943,-0.3566,0.610
0.205111,-0.0629,0.5638,-0.4044,0.697
