time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003436,-0.1479,0.8792,-1.1629,1.465
0.003849,-0.0238,0.9213,-1.4017,1.678
0.008327,0.0453,0.9282,-1.6499,1.894
0.013285,0.0116,0.8704,-1.8371,2.033
0.018251,-0.0977,0.8363,-1.9447,2.119
0.023481,-0.2544,0.8935,-2.0034,2.208
0.028306,-0.4393,1.0120,-2.0272,2.308
0.033973,-0.6373,1.1433,-2.0209,2.408
0.038013,-0.8255,1.2579,-1.9582,2.470
0.043031,-1.0009,1.3306,-1.8603,2.497
0.048420,-1.1612,1.3265,-1.7716,2.499
0.053064,-1.2777,1.2502,-1.7359,2.492
0.057914,-1.3235,1.1106,-1.7302,2.445
0.063242,-1.2770,0.9825,-1.7328,2.366
0.068360,-1.1939,0.8919,-1.6598,2.231
0.072962,-1.0994,0.8229,-1.4917,2.028
0.078051,-0.9839,0.7069,-1.2355,1.730
0.083301,-0.8212,0.5285,-0.9552,1.366
0.088426,-0.6230,0.3720,-0.6907,1.002
0.093747,-0.4525,0.2637,-0.4668,0.702
0.097897,-0.3835,0.2658,-0.2802,0.544
0.102813,-0.4203,0.3716,-0.1584,0.583
0.108587,-0.5292,0.5306,-0.1222,0.759
0.113286,-0.6818,0.6754,-0.1285,0.968
0.117856,-0.8440,0.7992,-0.1153,1.168
0.123592,-0.9675,0.8856,-0.0856,1.314
0.128358,-1.0294,0.9427,-0.0564,1.397
0.133264,-1.0587,0.9690,-0.0375,1.436
0.138280,-1.0631,0.9584,-0.0459,1.432
0.142952,-1.0800,0.9142,-0.0461,1.416
0.148484,-1.1404,0.8388,-0.0313,1.416
0.153321,-1.2407,0.7371,0.0103,1.443
0.157958,-1.3225,0.6205,0.0811,1.463
0.163362,-1.3700,0.5151,0.1505,1.471
0.168628,-1.3856,0.4279,0.2185,1.467
0.173022,-1.3559,0.3637,0.2707,1.430
0.177850,-1.3039,0.3371,0.3022,1.380
0.183172,-1.2645,0.3529,0.2796,1.342
0.188384,-1.2375,0.4143,0.1674,1.316
0.193169,-1.2404,0.5787,-0.0957,1.372
0.198661,-1.2548,0.7759,-0.4130,1.532
0.203126,-1.2576,0.9519,-0.6465,1.705
0.208230,-1.2636,1.0925,-0.8147,1.859
0.213535,-1.2872,1.1897,-1.0123,2.024
0.217952,-1.2879,1.2569,-1.2192,2.174
0.222938,-1.2327,1.3060,-1.3648,2.256
0.228705,-1.1498,1.3447,-1.4379,2.280
0.233336,-1.0839,1.3799,-1.4674,2.287
0.240023,-1.0581,1.4179,-1.4816,2.308
0.244832,-1.0937,1.4716,-1.4730,2.352
0.248767,-1.1890,1.5320,-1.4170,2.402
0.253236,-1.3114,1.5991,-1.2963,2.441
0.258450,-1.4320,1.6487,-1.1220,2.455
0.262961,-1.5599,1.6950,-0.9122,2.478
0.268393,-1.6886,1.7554,-0.6595,2.523
0.273581,-1.8203,1.8533,-0.3426,2.620
0.277930,-1.9848,2.0140,0.0609,2.828
0.283095,-2.1663,2.1973,0.3916,3.110
0.288552,-2.3533,2.3330,0.5398,3.357
0.293372,-2.5110,2.3856,0.6006,3.515
0.298116,-2.5842,2.3978,0.7710,3.609
0.303211,-2.5504,2.4283,1.0630,3.678
0.308372,-2.4213,2.4558,1.4238,3.731
0.312983,-2.2168,2.4295,1.8274,3.762
0.318359,-1.9483,2.3055,2.2291,3.752
0.323205,-1.6273,2.0880,2.5774,3.695
0.328779,-1.2855,1.8087,2.8083,3.579
0.333768,-0.9636,1.5140,2.8985,3.409
0.338028,-0.7037,1.2574,2.8410,3.186
0.343033,-0.5157,1.0667,2.6167,2.872
0.348934,-0.4042,1.0103,2.2612,2.509
0.353452,-0.3710,1.0876,1.8100,2.144
0.358173,-0.3772,1.2456,1.3055,1.843
0.363305,-0.3497,1.3977,0.7998,1.648
0.368291,-0.2334,1.5352,0.3426,1.590
0.373212,-0.0187,1.6322,-0.0451,1.633
0.378219,0.2771,1.7081,-0.3422,1.764
0.383090,0.6192,1.7792,-0.6088,1.980
0.388584,0.9934,1.7938,-0.8026,2.202
0.393381,1.3713,1.7187,-0.9094,2.379
0.398152,1.7173,1.5640,-0.9396,2.506
0.402945,1.9602,1.3692,-0.9347,2.567
0.408689,2.0281,1.1604,-0.9501,2.522
0.413183,1.9237,0.8940,-0.9283,2.315
0.417972,1.7065,0.5738,-0.7988,1.970
0.423379,1.4301,0.2587,-0.5727,1.562
0.429148,1.1654,0.0467,-0.2631,1.196
0.433358,0.9689,-0.0258,0.1070,0.975
0.438282,0.7646,0.0221,0.4665,0.896
0.443066,0.5391,0.1209,0.6817,0.877
0.448614,0.3311,0.2513,0.7837,0.887
0.453571,0.1299,0.3924,0.8416,0.938
0.458275,-0.0882,0.5286,0.8595,1.013
0.463088,-0.2880,0.6200,0.8589,1.098
0.468749,-0.4267,0.6398,0.8805,1.169
0.473348,-0.4865,0.5815,0.9915,1.248
0.477988,-0.4468,0.4478,1.2233,1.377
0.483379,-0.2929,0.2580,1.5423,1.591
0.488656,-0.0201,0.0294,1.9153,1.916
0.493349,0.3429,-0.2105,2.3138,2.348
0.498345,0.7543,-0.4222,2.6852,2.821
0.503158,1.1553,-0.5848,2.9819,3.251
0.508568,1.4961,-0.6811,3.1417,3.546
0.513048,1.7385,-0.7234,3.0931,3.621
0.518060,1.8668,-0.7107,2.8026,3.442
0.523268,1.9028,-0.6363,2.2916,3.046
0.528849,1.8823,-0.5079,1.6267,2.539
0.533501,1.8473,-0.3298,0.9218,2.091
0.538190,1.8379,-0.1100,0.2955,1.865
0.543450,1.8896,0.1480,-0.1073,1.898
0.548722,2.0246,0.4313,-0.1942,2.079
0.553297,2.2429,0.7282,0.0467,2.359
0.558521,2.5155,1.0266,0.5603,2.774
0.563409,2.7691,1.2751,1.2176,3.283
0.568368,2.9997,1.4141,1.9354,3.840
0.573528,3.2186,1.4034,2.5922,4.364
0.579195,3.4021,1.2766,3.2148,4.852
0.583472,3.5301,1.0871,3.9212,5.387
0.589381,3.5584,0.9417,4.7710,6.026
0.594246,3.4191,0.8740,5.3490,6.408
0.598604,3.0342,0.9103,5.5735,6.411
0.603474,2.6511,1.1037,5.6786,6.363
0.608914,2.4181,1.4529,5.7852,6.436
0.613777,2.4317,1.9545,5.9286,6.699
0.618558,2.6669,2.5167,6.1161,7.131
0.623768,2.9162,3.0164,6.3609,7.620
0.628858,3.0967,3.3572,6.6709,8.085
0.633685,3.2415,3.5440,6.9488,8.447
0.638266,3.3515,3.6200,7.1664,8.700
0.643176,3.4169,3.6351,7.3241,8.862
0.649037,3.4085,3.5898,7.4246,8.923
0.653517,3.3240,3.4584,7.4541,8.864
0.658407,3.1763,3.2568,7.4109,8.696
0.663647,3.0126,3.0083,7.3031,8.453
0.668562,2.8485,2.7473,7.1168,8.143
0.673500,2.6505,2.4968,6.8236,7.734
0.678623,2.5015,2.2917,6.4432,7.282
0.683466,2.3637,2.1380,5.9593,6.758
0.688996,2.1746,1.9988,5.4084,6.162
0.693711,1.9099,1.8758,4.8002,5.496
0.698363,1.5759,1.7705,4.1517,4.781
0.703352,1.1913,1.6609,3.4840,4.039
0.709039,0.7797,1.5079,2.8183,3.290
0.713044,0.4140,1.3030,2.1588,2.555
0.718314,0.1566,1.0400,1.5361,1.862
0.724004,-0.0822,0.6798,0.9039,1.134
0.728691,-0.3369,0.2169,0.2731,0.485
0.733583,-0.5836,-0.2826,-0.3691,0.746
0.738568,-0.8130,-0.7510,-0.9948,1.488
0.743299,-1.0429,-1.1710,-1.6071,2.245
0.749125,-1.3241,-1.5710,-2.1896,3.003
0.753625,-1.6927,-2.0159,-2.7066,3.776
0.758361,-2.1300,-2.5111,-3.1484,4.556
0.763845,-2.5980,-3.0336,-3.5026,5.312
0.769479,-3.1240,-3.5318,-3.7831,6.045
0.773794,-3.7540,-3.9860,-3.9771,6.767
0.778549,-4.4958,-4.4084,-4.0785,7.502
0.783810,-5.3260,-4.8022,-4.0909,8.256
0.790138,-6.1781,-5.1654,-4.0199,9.001
0.794380,-6.9609,-5.5080,-3.9052,9.698
0.798495,-7.6430,-5.8437,-3.7937,10.342
0.803255,-8.1423,-6.1905,-3.6946,10.875
0.808797,-8.4959,-6.5319,-3.6553,11.323
0.813852,-8.7577,-6.8584,-3.6756,11.715
0.821634,-8.9603,-7.1046,-3.7921,12.048
0.823438,-9.0580,-7.2412,-3.9938,12.265
0.829075,-9.0305,-7.2671,-4.2706,12.353
0.833500,-8.8554,-7.1879,-4.6322,12.310
0.838535,-8.5582,-7.0064,-5.0498,12.159
0.844048,-8.1812,-6.7368,-5.4993,11.940
0.849261,-7.7531,-6.4080,-5.9346,11.679
0.853538,-7.2957,-6.0389,-6.2765,11.362
0.858595,-6.8516,-5.6160,-6.4735,10.972
0.863441,-6.4345,-5.1553,-6.4732,10.482
0.869492,-6.0419,-4.6811,-6.2486,9.872
0.873745,-5.6333,-4.2309,-5.7412,9.088
0.878403,-5.1484,-3.8256,-4.9428,8.098
0.883434,-4.6107,-3.4295,-4.0155,7.010
0.889208,-4.0549,-3.0251,-3.0693,5.917
0.893921,-3.5351,-2.6515,-2.1501,4.914
0.898535,-3.1459,-2.2913,-1.3948,4.134
0.903737,-2.9006,-1.9828,-0.6330,3.570
0.908771,-2.6559,-1.7112,0.2289,3.168
0.913680,-2.2924,-1.4281,1.2967,2.996
0.918705,-1.7787,-1.0780,2.4077,3.182
0.924000,-1.1921,-0.6472,3.1862,3.463
0.929270,-0.6016,-0.1921,3.6759,3.730
0.933934,-0.0127,0.2149,4.0871,4.093
0.938596,0.5856,0.5410,4.4537,4.525
0.943641,1.1521,0.7595,4.7458,4.942
0.949389,1.6826,0.8726,4.9746,5.323
0.953634,2.2137,0.9049,5.1392,5.668
0.958458,2.7558,0.9085,5.2021,5.957
0.963944,3.3303,0.9416,5.0893,6.155
0.969051,3.9063,1.0273,4.7839,6.261
0.973902,4.4253,1.1200,4.2901,6.264
0.978699,4.8583,1.1598,3.6457,6.184
0.983417,5.2198,1.1203,2.9081,6.079
0.989107,5.5500,1.0125,2.1253,6.029
0.993879,5.8615,0.8803,1.3380,6.076
0.998456,6.1511,0.7424,0.5823,6.223
1.003425,6.4071,0.5902,-0.1149,6.435
1.009046,6.6463,0.4169,-0.7289,6.699
1.013681,6.8856,0.2363,-1.2299,6.999
1.019724,7.1016,0.0638,-1.6051,7.281
1.023944,7.2971,-0.0781,-1.8509,7.529
1.029361,7.4799,-0.1888,-1.9662,7.736
1.033536,7.6798,-0.2537,-1.9665,7.932
1.039054,7.9194,-0.2668,-1.8891,8.146
1.043616,8.1846,-0.2283,-1.8143,8.386
1.048648,8.4596,-0.1507,-1.8202,8.655
1.053969,8.7423,-0.0843,-1.9763,8.963
1.058495,9.0452,-0.0582,-2.3311,9.341
1.063450,9.3732,-0.0737,-2.8860,9.808
1.069527,9.7138,-0.1103,-3.6070,10.362
1.073492,10.0237,-0.1455,-4.4464,10.967
1.078609,10.2718,-0.1859,-5.3492,11.583
1.083731,10.4248,-0.2391,-6.2703,12.168
1.088753,10.4762,-0.3103,-7.1837,12.706
1.093564,10.4148,-0.4205,-8.0415,13.165
1.098757,10.2450,-0.5915,-8.7953,13.515
1.103679,9.9765,-0.8157,-9.3955,13.729
1.109069,9.6458,-1.0719,-9.8211,13.807
1.113846,9.2963,-1.3565,-10.0522,13.759
1.123329,8.9775,-1.6645,-10.0903,13.608
1.124106,8.7082,-1.9628,-9.9265,13.350
1.129002,8.4569,-2.2309,-9.5544,12.953
1.133532,8.1991,-2.4509,-8.9771,12.402
1.138451,7.9234,-2.6069,-8.2263,11.715
1.143775,7.6442,-2.6895,-7.3609,10.948
1.149061,7.3686,-2.7049,-6.3992,10.127
1.153776,7.1343,-2.6984,-5.2572,9.264
1.158771,6.9969,-2.7119,-3.8355,8.428
1.163553,6.8199,-2.6677,-2.2652,7.665
1.169203,6.4988,-2.5320,-0.7375,7.013
1.173965,6.0905,-2.2357,0.7135,6.527
1.179612,5.6490,-1.7328,2.0907,6.268
1.184542,5.2198,-0.9916,3.3263,6.268
1.189658,4.9086,-0.0911,4.3923,6.587
1.195003,4.8191,0.8999,5.3961,7.291
1.199712,4.9151,1.8226,6.5051,8.354
1.203894,5.0749,2.4634,7.7565,9.591
1.208870,5.2358,2.7353,9.0949,10.845
1.213766,5.4074,2.7196,10.4339,12.062
1.221275,5.5841,2.5606,11.6819,13.199
1.223459,5.7027,2.3054,12.7878,14.190
1.229554,5.6828,1.9185,13.7268,14.980
1.234524,5.4967,1.3527,14.4888,15.555
1.238821,5.1494,0.6472,15.0637,15.933
1.243551,4.6367,-0.1184,15.4507,16.132
1.249215,3.9758,-0.8857,15.6127,16.135
1.253772,3.2023,-1.6243,15.5215,15.931
1.258529,2.3421,-2.3099,15.1629,15.516
1.263931,1.4409,-2.9278,14.5551,14.916
1.268814,0.5217,-3.4708,13.7190,14.161
1.273685,-0.3724,-3.9252,12.6918,13.290
1.278824,-1.1856,-4.2759,11.5375,12.361
1.284019,-1.8990,-4.5206,10.3106,11.417
1.288858,-2.5380,-4.7125,9.0373,10.503
1.293914,-3.1111,-4.8897,7.7029,9.640
1.298437,-3.6095,-5.0476,6.2955,8.840
1.303735,-4.0356,-5.1787,4.8388,8.156
1.309263,-4.4090,-5.2782,3.3399,7.646
1.313836,-4.7428,-5.3528,1.8248,7.381
1.318844,-5.0337,-5.4329,0.3313,7.414
1.323827,-5.2882,-5.5537,-1.0959,7.747
1.329593,-5.5066,-5.7404,-2.4312,8.318
1.334839,-5.6995,-6.0063,-3.6730,9.058
1.339058,-5.8997,-6.3617,-4.8081,9.919
1.345123,-6.1270,-6.7910,-5.8063,10.834
1.348740,-6.3681,-7.2719,-6.6443,11.729
1.354061,-6.6183,-7.7687,-7.2986,12.547
1.358648,-6.8665,-8.2626,-7.7693,13.258
1.364838,-7.1278,-8.7501,-8.0562,13.866
1.369074,-7.3721,-9.2088,-8.1689,14.349
1.373630,-7.5738,-9.6236,-8.1116,14.689
1.378446,-7.7232,-9.9944,-7.9295,14.913
1.385202,-7.7915,-10.3017,-7.6673,15.021
1.388511,-7.7758,-10.5470,-7.3630,15.031
1.393611,-7.6976,-10.7243,-7.0666,14.973
1.398797,-7.5695,-10.8408,-6.8186,14.877
1.404825,-7.3990,-10.8960,-6.6524,14.755
1.410537,-7.2032,-10.8843,-6.5852,14.619
1.413929,-6.3973,-10.5419,-6.6481,14.009
1.418888,-6.4962,-9.9306,-6.7933,13.674
1.427307,-6.7392,-9.2109,-6.8149,13.293
1.429383,-7.0177,-8.3398,-6.5029,12.692
1.434416,-7.2950,-7.2942,-5.9912,11.930
1.438692,-7.6187,-6.0148,-5.2751,11.048
1.445760,-7.9062,-4.7291,-4.3499,10.188
1.449072,-8.1447,-3.4816,-3.4289,9.498
1.454038,-8.3792,-2.2170,-2.6274,9.057
1.459022,-8.5283,-1.0680,-1.8963,8.802
1.465173,-8.5856,-0.0765,-1.0310,8.648
1.469468,-8.6957,0.5515,0.5534,8.731
1.474257,-8.7445,0.7473,3.3439,9.392
1.478846,-8.0748,0.3627,7.7055,11.167
1.485497,-7.7405,-0.0100,11.3726,13.757
1.489214,-8.3756,-0.3253,13.3762,15.785
1.494292,-8.4171,-0.6465,16.0816,18.163
1.498667,-7.5413,-0.9736,18.4156,19.924
1.505502,-6.4038,-1.1672,19.1828,20.257
1.509363,-5.4214,-1.1490,19.1775,19.962
1.514001,-4.7008,-1.0580,18.6594,19.271
1.519228,-4.1289,-0.8343,17.5529,18.051
1.527481,-3.4708,-0.4122,15.9450,16.324
1.531119,-2.7478,0.0400,13.9820,14.250
1.534491,-1.9206,0.4957,11.8556,12.020
1.538794,-0.9594,0.8908,9.5967,9.686
1.545624,0.0338,1.2711,7.3223,7.432
1.549411,0.9609,1.5870,5.2915,5.607
1.554201,1.7957,1.7507,3.4348,4.253
1.558867,2.6339,1.8340,1.8022,3.681
1.565405,3.4831,1.8415,0.3481,3.955
1.569115,4.3752,1.8034,-0.9081,4.819
1.573997,5.4541,1.7473,-2.0095,6.069
1.579239,6.5914,1.6722,-2.9558,7.415
