time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.000812,0.6353,1.1316,0.0768,1.300
0.004050,0.6218,1.3054,0.1278,1.452
0.009478,0.6248,1.3990,0.1621,1.541
0.014570,0.6161,1.4489,-0.0512,1.575
0.019279,0.5869,1.4153,-0.2894,1.559
0.024475,0.6134,1.3919,-0.5264,1.610
0.029236,0.7279,1.4529,-0.6792,1.761
0.034294,0.8618,1.4721,-0.8204,1.893
0.039747,0.9207,1.3623,-1.0413,1.946
0.044155,0.8612,1.3108,-1.2159,1.984
0.049287,0.8040,1.2729,-1.3307,2.009
0.054596,0.7720,1.2205,-1.3675,1.989
0.059618,0.7617,1.2589,-1.3150,1.973
0.064040,0.8084,1.2636,-1.1854,1.912
0.069597,0.8904,1.2232,-1.0195,1.824
0.074407,1.0428,1.0907,-0.6818,1.656
0.079415,1.1048,1.0233,-0.4746,1.579
0.084462,1.0094,0.9908,-0.3630,1.460
0.089183,0.8282,1.0327,-0.2929,1.356
0.094274,0.6469,1.0239,-0.2683,1.241
0.099777,0.5855,1.1953,-0.1932,1.345
0.104126,0.4693,1.1833,-0.1080,1.278
0.109322,0.2788,1.1887,0.0086,1.221
0.115324,0.1506,1.2090,-0.0822,1.221
0.119392,0.1290,1.2396,-0.1483,1.255
0.124304,0.0940,1.3138,-0.2137,1.334
0.129315,0.0869,1.4460,-0.2948,1.478
0.134471,0.0393,1.5711,-0.3413,1.608
0.139609,0.0375,1.6932,-0.3361,1.727
0.144363,0.0152,1.7547,-0.3676,1.793
0.149302,0.0570,1.7889,-0.4066,1.835
0.154966,0.2231,1.8171,-0.4222,1.879
0.159907,0.3826,1.9467,-0.3261,2.011
0.164403,0.5211,2.1726,-0.2049,2.244
0.169354,0.5795,2.4518,-0.1135,2.522
0.175073,0.4846,2.7559,-0.1594,2.803
0.179585,0.3351,2.9444,-0.1370,2.967
0.184258,0.1795,3.0172,0.0822,3.024
0.189618,0.0256,2.8828,0.5047,2.927
0.194376,-0.0714,2.3762,1.0037,2.580
0.199601,0.0023,1.5953,1.4360,2.146
0.204431,0.1616,0.7402,1.9712,2.112
0.209228,0.3147,0.0502,2.5114,2.532
0.214538,0.3261,-0.4455,3.0757,3.125
0.218894,0.1920,-0.7247,3.5901,3.668
0.224267,-0.0618,-0.7880,3.8447,3.925
0.229282,-0.4210,-0.6541,3.7593,3.839
0.234794,-0.7791,-0.3943,3.2583,3.373
0.239763,-1.2510,-0.1709,2.4931,2.795
0.244256,-1.6165,-0.1568,1.7077,2.357
0.249599,-1.8448,-0.2625,1.0569,2.142
0.254730,-1.8916,-0.2505,0.4233,1.954
0.259677,-1.8904,-0.1718,-0.2127,1.910
0.264603,-1.7168,0.0253,-0.8061,1.897
0.269355,-1.4570,0.2912,-1.2596,1.948
0.274745,-1.0339,0.6165,-1.5404,1.955
0.279971,-0.5570,1.0131,-1.6969,2.053
0.284243,-0.0757,1.4283,-1.8082,2.306
0.289324,0.3866,1.8647,-1.8292,2.641
0.294739,0.7376,2.1713,-1.7506,2.885
0.299618,0.8915,2.3481,-1.5966,2.976
