time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003539,-0.8088,0.4792,-0.2856,0.983
0.006147,-0.8380,0.4419,-0.4242,1.038
0.010837,-0.8677,0.3984,-0.5167,1.086
0.015387,-0.8840,0.3599,-0.5871,1.121
0.020192,-0.8551,0.2940,-0.6715,1.126
0.025336,-0.7712,0.1601,-0.7748,1.105
0.031040,-0.6982,0.0113,-0.8373,1.090
0.035324,-0.6636,-0.0929,-0.8373,1.072
0.040499,-0.6716,-0.0914,-0.7864,1.038
0.045445,-0.7304,0.0174,-0.6819,0.999
0.051005,-0.8533,0.1814,-0.5664,1.040
0.055156,-1.0266,0.3665,-0.4563,1.182
0.060451,-1.1986,0.5712,-0.3800,1.381
0.065386,-1.3401,0.7628,-0.3304,1.577
0.071139,-1.4321,0.9179,-0.2954,1.726
0.075413,-1.4649,0.9992,-0.2701,1.794
0.080177,-1.4460,1.0062,-0.2375,1.778
0.085248,-1.3855,0.9551,-0.1997,1.695
0.091027,-1.3270,0.8592,-0.1490,1.588
0.095127,-1.2860,0.7630,-0.0925,1.498
0.100277,-1.2902,0.7085,-0.0416,1.473
0.105860,-1.3345,0.7333,-0.0061,1.523
0.110719,-1.3887,0.7997,0.0069,1.602
0.115221,-1.4404,0.8750,-0.0219,1.685
0.120263,-1.4932,0.9412,-0.0970,1.768
0.125313,-1.5516,0.9939,-0.1946,1.853
0.130828,-1.5827,1.0265,-0.2884,1.908
0.135546,-1.5641,1.0465,-0.3525,1.915
0.140245,-1.4922,1.0496,-0.3920,1.866
0.145499,-1.3883,1.0435,-0.4025,1.783
0.151583,-1.2724,1.0284,-0.3604,1.675
0.155451,-1.1609,0.9924,-0.2686,1.551
0.160425,-1.0468,0.9308,-0.1511,1.409
0.165643,-0.9533,0.8507,-0.0154,1.278
0.170977,-0.8865,0.7775,0.1364,1.187
0.175478,-0.8609,0.8024,0.3139,1.218
0.180711,-0.8606,0.7813,0.4769,1.256
0.185557,-0.8981,0.7118,0.5970,1.292
0.191014,-0.9760,0.6518,0.6674,1.350
0.195567,-1.0654,0.6109,0.6955,1.411
0.200391,-1.1452,0.5894,0.6840,1.458
0.205439,-1.2264,0.6060,0.6688,1.523
0.211166,-1.3295,0.6603,0.6716,1.629
0.215445,-1.4354,0.7193,0.6612,1.736
0.220457,-1.5380,0.7622,0.6233,1.826
0.225883,-1.6260,0.7870,0.5650,1.893
0.230991,-1.6999,0.7822,0.4959,1.936
0.235574,-1.7469,0.7408,0.4253,1.945
0.240496,-1.7479,0.6797,0.3605,1.910
0.245552,-1.7046,0.6158,0.3155,1.840
0.251015,-1.6047,0.5440,0.2995,1.721
0.255534,-1.4585,0.4736,0.3076,1.564
0.260774,-1.2772,0.3974,0.3469,1.382
0.265564,-1.0680,0.3153,0.4055,1.185
0.271794,-0.8559,0.2248,0.4692,1.002
0.275568,-0.6644,0.1167,0.5225,0.853
0.280576,-0.5060,-0.0095,0.5360,0.737
0.285606,-0.3864,-0.1368,0.5098,0.654
0.290964,-0.2989,-0.2534,0.4607,0.605
0.295226,-0.2358,-0.3405,0.4028,0.578
0.300626,-0.2017,-0.3872,0.3359,0.551
0.305546,-0.1998,-0.4107,0.2317,0.512
0.312234,-0.2169,-0.4017,0.0948,0.466
0.315723,-0.2278,-0.3598,-0.0486,0.429
0.327424,-0.2267,-0.2773,-0.1705,0.397
0.330389,-0.2333,-0.1391,-0.2256,0.353
0.331086,-0.2617,0.0592,-0.1903,0.329
0.335290,-0.3036,0.3166,-0.1152,0.454
0.351274,-0.3654,0.5919,-0.0722,0.699
0.351699,-0.4462,0.8206,-0.0802,0.937
0.351863,-0.5421,0.9674,-0.1197,1.115
0.355207,-0.6466,1.0342,-0.1685,1.231
0.360543,-0.7174,1.0334,-0.2530,1.283
0.365572,-0.7714,1.0130,-0.3951,1.333
0.370724,-0.8174,0.9588,-0.5904,1.391
0.375586,-0.8706,0.9115,-0.8106,1.499
0.380384,-0.9172,0.8875,-1.0247,1.637
0.385466,-0.9274,0.9064,-1.2162,1.778
0.391186,-0.8540,0.9445,-1.3496,1.855
0.395884,-0.6877,0.9560,-1.4180,1.843
0.400511,-0.4467,0.9464,-1.4549,1.792
0.405785,-0.1927,0.9732,-1.4555,1.761
0.410859,0.0229,1.0595,-1.4074,1.762
0.415389,0.1903,1.1914,-1.3053,1.777
0.420664,0.3095,1.3388,-1.1652,1.802
0.425656,0.3784,1.4844,-1.0323,1.847
0.430889,0.4152,1.6136,-0.9373,1.912
0.435400,0.4560,1.7166,-0.8469,1.968
0.440422,0.5060,1.7974,-0.7421,2.009
0.446345,0.5625,1.8530,-0.6137,2.031
0.451171,0.6004,1.8705,-0.4664,2.019
0.455522,0.6024,1.8392,-0.3147,1.961
0.460235,0.5736,1.7696,-0.1899,1.870
0.465831,0.5315,1.6654,-0.1185,1.752
0.470805,0.4978,1.5427,-0.1226,1.626
0.475537,0.4819,1.4091,-0.2122,1.504
0.480669,0.5002,1.2966,-0.3785,1.440
0.485524,0.5515,1.2091,-0.6434,1.477
0.490987,0.6145,1.1629,-1.0000,1.652
0.495623,0.6743,1.1648,-1.4411,1.972
0.500494,0.6903,1.2120,-1.9419,2.391
0.505683,0.6519,1.2822,-2.4513,2.842
0.511068,0.6212,1.3259,-2.8947,3.244
0.515325,0.6369,1.3693,-3.1975,3.536
0.520452,0.7373,1.4343,-3.2116,3.594
0.525874,0.9186,1.5596,-2.8172,3.349
0.531035,1.0868,1.7448,-2.0784,2.923
0.535252,1.1866,1.9611,-1.1618,2.570
0.540520,1.2252,2.1680,-0.2294,2.501
0.546177,1.2121,2.3382,0.6119,2.704
0.550991,1.1569,2.4345,1.2646,2.977
0.555808,1.0788,2.4695,1.6698,3.170
0.560351,1.0038,2.4214,1.8114,3.186
0.565628,0.9440,2.2930,1.7164,3.016
0.571173,0.8989,2.1100,1.4303,2.703
0.575458,0.8591,1.9083,0.9865,2.314
0.580539,0.8314,1.7190,0.4321,1.958
0.586380,0.8448,1.5704,-0.1722,1.791
0.590918,0.9171,1.4899,-0.7638,1.909
0.596659,1.0665,1.4551,-1.2799,2.212
0.600761,1.2779,1.4200,-1.6785,2.543
0.606243,1.5183,1.3410,-1.9119,2.785
0.610757,1.7459,1.2025,-1.9602,2.887
0.616307,1.9287,0.9983,-1.8345,2.843
0.621711,2.0593,0.7180,-1.5766,2.691
0.625682,2.1466,0.3895,-1.2263,2.503
0.631073,2.2372,0.0274,-0.8597,2.397
0.635527,2.3512,-0.3480,-0.5265,2.434
0.640601,2.5178,-0.7151,-0.2603,2.630
0.646069,2.7324,-1.0152,-0.0733,2.916
0.651389,2.9894,-1.1752,0.0586,3.213
0.655531,3.1661,-1.1070,0.1282,3.356
0.661202,3.1396,-0.8132,0.1956,3.249
0.665867,2.9454,-0.3064,0.4425,2.994
0.670965,2.7123,0.4076,0.7750,2.850
0.675859,2.5143,1.2761,0.8907,2.957
0.680479,2.2540,2.1839,0.7335,3.223
0.685799,1.9347,3.0432,0.5770,3.652
0.691166,1.6495,3.7895,0.5797,4.173
0.695786,1.4621,4.3680,0.7185,4.662
0.700823,1.3606,4.7664,0.9902,5.055
0.706032,1.3331,4.9217,1.4324,5.296
0.711367,1.4268,4.8426,2.0566,5.451
0.715538,1.6628,4.6178,2.8850,5.693
0.720865,1.9972,4.3669,3.8709,6.168
0.725608,2.3838,4.1116,4.9350,6.851
0.730974,2.7457,3.8550,6.0100,7.650
0.736135,3.0205,3.5991,7.0115,8.440
0.740573,3.1603,3.3586,7.8355,9.092
0.745947,3.1614,3.1371,8.4206,9.526
0.751428,3.0408,2.9504,8.7170,9.692
0.756241,2.8269,2.7794,8.7080,9.568
0.760800,2.5744,2.6550,8.4055,9.183
0.766212,2.3004,2.5961,7.8569,8.589
0.771036,1.9605,2.5780,7.1051,7.808
0.775747,1.5887,2.6474,6.1974,6.924
0.780992,1.1224,2.8063,5.1306,5.955
0.785855,0.7130,2.9570,4.0621,5.075
0.791092,0.4330,3.0828,2.9843,4.312
0.796023,0.2831,3.1169,1.9159,3.670
0.800704,0.2389,3.0018,0.9332,3.153
0.806193,0.2519,2.7514,0.0528,2.763
0.811385,0.2519,2.3792,-0.7346,2.503
0.815758,0.2621,1.9103,-1.4264,2.398
0.821126,0.3125,1.3920,-2.0392,2.489
0.826115,0.3648,0.8934,-2.5945,2.768
0.831170,0.3341,0.4078,-3.1045,3.149
