time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.007650,-2.0405,1.2345,-1.2298,2.683
0.008073,-1.9901,1.1990,-1.3996,2.712
0.008290,-2.0522,1.1115,-1.4941,2.771
0.014087,-2.0915,0.9057,-1.5587,2.761
0.017986,-2.0854,0.8864,-1.5813,2.763
0.023370,-2.1018,1.1098,-1.6098,2.871
0.028018,-2.2062,1.4107,-1.6940,3.119
0.033135,-2.3068,1.5823,-1.7864,3.319
0.038266,-2.4884,1.5804,-1.8916,3.503
0.043118,-2.6371,1.5083,-1.8503,3.557
0.048017,-2.7066,1.5904,-1.8133,3.625
0.053370,-2.7391,1.5371,-1.7089,3.576
0.058091,-2.7144,1.4024,-1.6035,3.451
0.063882,-2.7691,1.4211,-1.3129,3.378
0.068267,-2.7530,1.4223,-0.9785,3.250
0.073052,-2.5045,1.1034,-0.6863,2.822
0.078089,-2.6371,1.0846,-0.5667,2.907
0.083668,-3.0532,1.2974,-0.7471,3.401
0.088276,-3.0510,1.3175,-1.0095,3.473
0.093502,-2.7566,1.2252,-1.1610,3.232
0.098467,-2.3820,1.1216,-1.1241,2.863
0.103000,-2.1232,0.9808,-1.0023,2.545
0.108104,-1.9058,0.8299,-0.9153,2.271
0.113516,-1.8072,0.7623,-0.9177,2.165
0.117978,-1.7307,0.7236,-0.9354,2.096
0.123139,-1.7305,0.7644,-1.0184,2.149
0.128188,-1.7888,0.8419,-1.0903,2.258
0.133171,-1.8672,0.9560,-1.0606,2.351
0.138073,-1.9061,1.0302,-0.9866,2.381
0.143291,-1.9415,1.1238,-0.9445,2.434
0.148150,-1.9184,1.1223,-0.9196,2.405
0.153189,-1.8823,1.1255,-0.9088,2.374
0.158333,-1.8636,1.0684,-0.7782,2.285
0.163200,-1.9256,0.9931,-0.5661,2.239
0.168138,-1.9573,0.9079,-0.1841,2.165
0.173585,-1.9032,0.8092,0.1960,2.077
0.178146,-1.8182,0.8528,0.5628,2.086
0.183561,-1.7228,0.8989,0.8524,2.122
0.188460,-1.6761,0.8567,0.9698,2.118
0.193130,-1.6827,0.7718,0.9635,2.087
0.198336,-1.6523,0.6424,0.9221,1.998
0.203675,-1.6484,0.4708,0.9051,1.939
0.208154,-1.6169,0.3199,0.8860,1.871
0.213963,-1.5796,0.3475,0.9479,1.875
0.218337,-1.6045,0.5169,1.1690,2.051
0.223682,-1.7061,0.5344,1.3342,2.231
0.228141,-1.7623,0.4082,1.3843,2.278
0.233694,-1.7222,0.3185,1.3671,2.222
0.238231,-1.6933,0.2753,1.2896,2.146
0.243171,-1.6349,0.2622,1.2779,2.092
0.248389,-1.5752,0.2788,1.4050,2.129
0.253360,-1.5425,0.1818,1.5532,2.196
0.258156,-1.5023,0.0949,1.7864,2.336
0.263801,-1.4620,0.1176,1.9614,2.449
0.268181,-1.3960,0.1851,2.0996,2.528
0.273321,-1.3200,0.2621,2.2012,2.580
0.279119,-1.1902,0.3494,2.2733,2.590
0.283321,-1.0157,0.4932,2.3446,2.602
0.288170,-0.8290,0.6437,2.3388,2.563
0.293758,-0.6886,0.8583,2.2778,2.530
0.298538,-0.6663,1.0440,2.1953,2.521
0.303237,-0.6882,1.1026,2.0273,2.408
0.308429,-0.5897,1.0890,1.8339,2.213
0.313487,-0.3895,1.0838,1.6011,1.972
0.318336,-0.1299,1.0627,1.2884,1.675
0.323674,0.0885,1.0163,0.9838,1.417
0.328146,0.2709,0.9161,0.5869,1.121
0.333202,0.5205,0.8165,0.1453,0.979
0.338687,0.7472,0.7292,-0.2959,1.085
0.343334,1.0083,0.7661,-0.7251,1.459
0.348337,1.2724,0.9054,-1.1260,1.925
0.354069,1.4773,1.0872,-1.4368,2.330
0.358332,1.6658,1.3070,-1.6982,2.714
0.363399,1.8175,1.5936,-1.8935,3.071
0.368483,1.8934,1.8522,-2.1199,3.393
0.373410,1.8633,1.9813,-2.3571,3.599
0.379803,1.8593,1.9648,-2.6134,3.761
0.383726,1.9132,1.8843,-2.8852,3.941
0.388507,1.9551,1.6998,-3.1904,4.110
0.393333,2.0618,1.5506,-3.3038,4.192
0.400300,2.2140,1.5375,-3.0038,4.036
0.403527,2.3428,1.6860,-2.3282,3.708
0.408290,2.4264,1.8442,-1.6086,3.446
0.414033,2.4056,1.9155,-0.9415,3.216
0.419602,2.3189,1.9866,-0.0847,3.055
0.423722,2.1631,2.0393,0.6922,3.052
0.428708,1.9313,2.2820,1.2975,3.259
0.433387,1.6146,2.4471,1.6221,3.351
0.439871,1.2772,2.6464,1.8049,3.449
0.443468,0.9849,2.8165,1.6789,3.424
0.448296,0.9265,2.9186,1.3164,3.333
0.453677,1.0147,2.8019,0.7970,3.085
0.459977,1.2026,2.5525,0.3266,2.840
0.463225,1.4070,2.2006,-0.0903,2.613
0.468388,1.5844,1.8620,-0.4513,2.486
0.473556,1.7958,1.5346,-0.6587,2.452
0.480060,1.9932,1.1321,-0.7841,2.423
0.483134,2.1573,0.7711,-0.7223,2.402
0.488697,2.2653,0.4460,-0.4903,2.360
0.493323,2.3322,0.1959,-0.1311,2.344
0.500113,2.4161,-0.0814,0.3172,2.438
0.503715,2.4268,-0.3162,0.8147,2.579
0.508283,2.4629,-0.4873,1.3378,2.845
0.513762,2.4963,-0.6065,1.7919,3.132
0.520059,2.5944,-0.6923,2.1205,3.422
0.523401,2.6813,-0.6985,2.2863,3.592
0.528328,2.8477,-0.7254,2.2612,3.708
0.533836,2.9883,-0.7820,1.9217,3.638
0.539858,2.8878,-0.7714,1.4476,3.321
0.543151,2.7655,-0.7233,0.9842,3.023
0.548663,2.8380,-0.6813,0.5596,2.972
0.553415,3.0752,-0.6547,0.0728,3.145
0.559818,4.0518,-0.5257,-0.5058,4.117
0.563536,5.8237,-0.0631,-0.8401,5.884
0.568269,8.5015,0.6110,-0.6901,8.551
0.573448,10.1767,1.1252,-0.0024,10.239
0.580563,10.3052,1.2016,0.5870,10.392
0.583586,8.4018,0.2912,1.4081,8.524
0.588491,6.4131,-0.7751,2.2915,6.854
0.594487,5.7568,-1.1263,3.3593,6.760
0.600676,6.0800,-0.9152,4.8070,7.805
0.603885,6.8018,-0.6137,5.3835,8.696
0.608965,7.1142,-0.3614,4.7315,8.552
0.613737,6.7879,-0.0822,4.1980,7.982
0.620232,6.2739,0.3398,4.0041,7.451
0.623955,5.7728,0.8509,3.7163,6.918
0.628459,5.1497,1.4579,3.1529,6.212
0.633795,4.3956,2.1225,2.6765,5.567
0.640254,3.8208,2.8583,2.4602,5.369
0.643339,3.3959,3.4371,2.4641,5.424
0.648559,3.3024,3.9834,2.6516,5.814
0.653914,3.4127,4.4894,3.0984,6.434
0.660408,3.5162,4.7701,3.6848,6.978
0.663675,3.7246,4.8895,4.2197,7.456
0.668744,3.8228,4.7178,4.7157,7.688
0.673527,3.8161,4.2878,5.0901,7.672
0.680044,3.7671,3.7921,5.4198,7.612
0.683411,3.6643,3.2821,5.7271,7.550
0.688857,3.5689,2.7347,5.9145,7.429
0.696147,3.4483,2.1346,6.0183,7.257
0.700511,3.1552,1.5981,5.9343,6.908
0.703398,2.6564,1.2155,5.6606,6.370
0.708555,2.0287,0.9246,5.2980,5.748
0.714284,1.3364,0.6997,4.8253,5.056
0.720112,0.5910,0.4155,4.2997,4.360
0.723697,-0.1296,0.2944,3.8196,3.833
0.728779,-0.8780,0.2238,3.3660,3.486
0.733690,-1.5484,0.1487,2.9366,3.323
0.740071,-2.1307,0.0640,2.4433,3.242
0.743864,-2.6075,-0.0757,1.8744,3.212
0.748430,-2.9540,-0.2775,1.2352,3.214
0.753921,-3.1978,-0.5292,0.5616,3.290
0.760300,-3.3682,-0.8184,-0.1727,3.471
0.764094,-3.4875,-1.1493,-0.9031,3.781
0.769342,-3.5938,-1.6240,-1.6704,4.283
0.774014,-4.1640,-2.0955,-2.6180,5.346
0.780082,-4.0000,-2.7388,-2.9125,5.655
0.783289,-3.6477,-3.1619,-3.5534,5.994
0.788832,-3.5445,-3.6946,-4.2605,6.661
0.794778,-3.7628,-4.3024,-4.9074,7.533
0.800032,-4.3063,-4.8459,-5.5998,8.567
0.803936,-4.8922,-5.2388,-6.2640,9.519
0.808449,-5.5453,-5.4620,-6.8624,10.377
0.813731,-6.2786,-5.5807,-7.3238,11.145
0.820205,-7.0382,-5.5529,-7.5937,11.749
0.823400,-7.8764,-5.4490,-7.6916,12.284
0.828824,-8.8586,-5.2990,-7.5411,12.784
0.833857,-9.8461,-5.1971,-7.3617,13.347
0.840185,-10.6211,-5.0366,-7.0667,13.715
0.843486,-11.1986,-4.9612,-6.7371,13.979
0.848770,-11.5655,-4.8963,-6.4249,14.107
0.854108,-11.6709,-4.9155,-6.0705,14.044
0.860345,-11.4632,-5.0697,-5.8077,13.814
0.864020,-10.9912,-5.2455,-5.6058,13.407
0.868456,-10.4534,-5.4224,-5.4007,12.955
0.873670,-9.8378,-5.5589,-5.2622,12.465
0.880389,-9.2751,-5.6660,-5.1095,12.010
0.883325,-8.9233,-5.6532,-4.8904,11.640
0.888597,-8.7156,-5.4397,-4.7410,11.315
0.894446,-8.5742,-5.0120,-4.5419,10.921
0.900233,-8.5280,-4.5072,-4.1878,10.516
0.903573,-8.6099,-3.9546,-3.5877,10.131
0.908726,-8.8445,-3.3097,-2.8654,9.869
0.913793,-9.1360,-2.6303,-2.0417,9.724
0.919995,-9.3485,-1.9243,-1.0567,9.603
0.924038,-9.3824,-1.3376,0.0297,9.477
0.928787,-9.1065,-0.8409,1.1374,9.216
0.933544,-8.4804,-0.4351,2.1647,8.763
0.940287,-7.4866,-0.0465,3.1050,8.105
0.943513,-6.4123,0.2572,4.0425,7.585
0.948532,-5.2983,0.4129,5.0924,7.360
0.953833,-4.3860,0.2185,6.3123,7.690
0.959882,-3.3613,-0.0025,7.3392,8.072
0.963665,-2.0415,-0.0850,8.1001,8.354
0.969413,-0.5642,-0.0291,8.7000,8.718
0.973586,1.0401,0.1597,9.0750,9.136
0.980273,2.8497,0.6476,9.1554,9.611
0.983084,4.8779,1.4522,8.9632,10.307
0.988575,7.1881,2.4000,8.6739,11.518
0.994286,8.8097,2.7049,8.6554,12.643
1.000537,9.8090,2.4072,8.9333,13.484
1.003672,10.8877,2.1559,9.1958,14.414
1.008587,11.9573,2.2335,9.3749,15.358
1.014340,12.6545,2.4264,9.3320,15.909
1.020238,12.8574,2.6471,8.9848,15.907
1.023382,12.5744,2.7855,8.1631,15.248
1.028942,12.2455,2.6951,6.7213,14.227
1.034248,12.0291,2.4262,5.0215,13.259
1.040191,11.7153,2.2334,3.4991,12.429
1.043976,11.2014,2.1400,2.2503,11.624
1.049056,10.5743,2.0106,1.2785,10.839
1.054047,9.8968,1.8422,0.5739,10.083
1.060373,9.0382,1.6521,0.1130,9.189
1.063696,7.8374,1.5488,-0.0738,7.989
1.068679,6.2554,1.5654,-0.0747,6.449
1.073919,4.6233,1.8268,0.0991,4.972
1.080322,3.0556,2.3097,0.2976,3.842
1.083887,1.7211,2.8291,0.4685,3.344
1.089012,0.6819,3.2178,0.5832,3.341
1.094689,0.0590,3.3127,0.6030,3.368
1.100624,-0.1193,3.1783,0.6633,3.249
1.104188,0.1351,2.7317,0.7871,2.846
1.108617,0.7245,2.1192,1.0619,2.479
1.113728,1.4879,1.3983,1.2940,2.417
1.120653,2.4092,0.6861,1.4248,2.882
1.123592,3.3229,0.0274,1.5063,3.648
1.128665,4.4242,-0.6098,1.7339,4.791
1.134070,5.5838,-1.1832,1.7965,5.984
1.140072,6.4443,-1.6167,1.2690,6.764
1.144411,7.0487,-1.8553,0.5368,7.308
1.148882,7.6794,-1.8277,-0.0881,7.894
1.153765,8.3307,-1.8091,-0.7391,8.557
1.160348,8.7127,-1.8373,-1.4277,9.018
1.163972,8.7871,-1.8899,-2.0892,9.228
1.168788,8.5790,-1.8447,-2.7598,9.199
1.173811,8.0486,-1.7968,-3.4136,8.925
1.180484,7.2774,-1.6811,-3.9390,8.444
1.183992,6.5094,-1.6426,-4.3679,8.009
1.189086,5.8179,-1.6232,-4.6678,7.634
